ssuid|pnum|spanel|finyr4
00041820985218|101|2018|9066.2155222
00041820990318|101|2018|5466.3632591
00041820990518|101|2018|14212.812704
00041820990518|102|2018|15006.147842
00041820990518|103|2018|11265.451439
00041820990518|104|2018|10771.146373
00041820990518|105|2018|10771.146373
00041821551618|101|2018|16834.000331
00041821551618|102|2018|12398.805474
00041821551618|103|2018|15130.368932
00041821573718|101|2018|15594.206951
00041822820718|101|2018|23073.153429
00041822820718|102|2018|23384.286391
00041822820718|103|2018|23563.048734
00041822820718|104|2018|22691.239957
00041822820718|105|2018|22722.836213
00041822825918|101|2018|9933.8421648
00041822825918|102|2018|9777.6716436
00041822863018|101|2018|8755.9989376
00041829417418|101|2018|17165.368158
00041829417418|102|2018|21025.955962
00041829417418|103|2018|18669.981982
00041829417418|104|2018|20828.442495
00041829428318|101|2018|10093.76497
00041829428318|102|2018|7253.9677558
00041829485218|101|2018|31592.969534
00041830213418|101|2018|9919.4165409
00041830344918|101|2018|16481.661974
00041830390518|101|2018|6586.8933621
00041833429418|101|2018|5466.3632591
00041834203518|101|2018|18665.729772
00041834203518|102|2018|15898.353614
00041834203518|103|2018|23304.717481
00041834206718|101|2018|16404.741865
00041834213418|101|2018|16580.060841
00041834213418|102|2018|21279.08462
00041834267618|101|2018|15197.245719
00041834288718|101|2018|16529.617606
00041835914918|101|2018|15964.7442
00041835914918|102|2018|16044.892687
00041835963018|101|2018|17735.701445
00041835963018|102|2018|16069.137056
00041835994418|101|2018|9084.7541206
00041840624018|101|2018|9640.7666706
00041840647718|101|2018|12502.972236
00041840647718|102|2018|12950.061625
00041840647718|103|2018|17803.068745
00041840656618|101|2018|5723.8480653
00041840662218|101|2018|16993.823975
00041840662218|102|2018|15189.405271
00041840883118|101|2018|13780.175141
00041841829118|101|2018|9403.2166215
00041841829118|102|2018|7578.6285395
00041843802318|101|2018|14234.985622
00041843834318|101|2018|9934.9805221
00041843836918|101|2018|19206.666209
00041843836918|102|2018|21069.231773
00041843846518|101|2018|15180.778714
00041843846518|102|2018|13568.870699
00041849408618|101|2018|21412.450136
00041849408618|102|2018|12986.807144
00041849408618|103|2018|29570.18248
00041849408618|104|2018|28523.61089
00041849429118|101|2018|15466.056538
00041849429118|102|2018|9484.8433823
00041850077318|101|2018|18661.965543
00041850138918|101|2018|10378.444221
00041850138918|102|2018|9602.6907453
00041850155318|101|2018|10486.12609
00041850155318|102|2018|10117.685706
00041853317418|103|2018|29388.611886
00041853317418|104|2018|71225.228781
00041853317418|105|2018|36159.069076
00041860602918|101|2018|20517.163814
00041860602918|102|2018|33320.735567
00041860602918|103|2018|18068.470297
00041866280418|101|2018|10916.195249
00041868820718|101|2018|27796.640755
00041868820718|102|2018|18628.046791
00041868820718|103|2018|21612.036812
00041868829418|101|2018|10204.683481
00041868829418|102|2018|9790.6727549
00041868938918|101|2018|9255.459191
00041868968718|101|2018|21622.012664
00041868968718|102|2018|21880.084968
00041868968718|103|2018|20007.931541
00041875508618|101|2018|8554.1587417
00041875508618|102|2018|11829.909937
00041875508618|103|2018|12990.760878
00041875528318|101|2018|14848.288597
00041875528318|102|2018|26266.808878
00041875528318|103|2018|22892.518469
00041875528318|104|2018|27895.470896
00041875529118|101|2018|6586.8933621
00041875590518|101|2018|17290.091768
00041875590518|102|2018|11722.958938
00041880908618|101|2018|24549.69407
00041880908618|102|2018|27184.128155
00041880908618|103|2018|58295.173326
00041880928318|101|2018|23716.788299
00041880928318|102|2018|13973.717749
00041880928318|104|2018|14662.171004
00041880931618|101|2018|22266.839688
00041881669218|101|2018|10500.530407
00041881669218|103|2018|24988.235417
00041881677318|101|2018|27641.051321
00041881693218|101|2018|20072.90553
00041881693218|102|2018|17941.547323
00041884754918|101|2018|12327.82094
00041884754918|102|2018|15813.190799
00041884770518|101|2018|15233.998437
00041884793218|101|2018|15106.589189
00041884793218|102|2018|13502.558682
00041884793218|103|2018|31831.709053
00041892506018|101|2018|10368.604093
00041892514918|101|2018|11722.958938
00041892519718|101|2018|9084.7541206
00041892529418|101|2018|20966.900999
00041892529418|102|2018|21870.396225
00041892529418|104|2018|23207.788638
00041892529418|105|2018|20648.562788
00041892563018|101|2018|14373.747713
00041892563018|102|2018|16381.157341
00041892563018|103|2018|49542.812005
00041893217418|102|2018|13598.622254
00041893217418|103|2018|9863.9185558
00041893268918|101|2018|11481.208704
00041893268918|102|2018|7790.0496159
00041893268918|103|2018|8079.0824886
00041893268918|104|2018|8278.7291844
00041893290318|101|2018|5697.5152012
00041893290518|101|2018|14338.900814
00041893294618|101|2018|8569.6391963
00041894593218|101|2018|7468.2155068
00041898254918|101|2018|17534.286089
00041898270518|101|2018|17508.371544
00041899524018|101|2018|13692.230224
00041899528318|101|2018|13535.488209
00041899528318|102|2018|10629.580775
00041899528318|103|2018|17409.266144
00041899528318|104|2018|17409.266144
00041899528318|105|2018|11456.727932
00041899534818|101|2018|11225.797626
00041899550218|101|2018|18036.903673
00041899550218|102|2018|26727.529484
00041899550218|103|2018|36329.458481
00041899550218|104|2018|26139.389677
00041899550218|105|2018|25750.477824
00041899559618|101|2018|14610.259501
00041899573018|101|2018|15449.711118
00041899578818|101|2018|11823.996612
00041899578818|102|2018|20916.7984
00041899578818|105|2018|24081.534447
00041899588318|101|2018|11250.006011
00041899596718|101|2018|12107.646611
00041899596718|102|2018|12539.377753
00055241806018|101|2018|8153.9540643
00055241866018|101|2018|7606.3456351
00081602114918|101|2018|10677.004577
00081602114918|102|2018|11412.860617
00081602163018|101|2018|8975.8609881
00086002119718|101|2018|8573.0905318
00086002163018|101|2018|10417.393454
00086002163018|102|2018|13133.09043
00086002163018|103|2018|10874.186621
00086002163018|104|2018|9279.0217672
00086003705818|101|2018|8030.021994
00086003705818|102|2018|7044.4850469
00086003728418|101|2018|10434.923884
00086003796418|101|2018|7440.658367
00086004904018|101|2018|10765.664512
00086004904018|102|2018|12044.566883
00086004944018|101|2018|22177.446188
00086004944018|102|2018|43038.57434
00086004944018|103|2018|37359.764928
00086004950918|101|2018|9881.9942619
00086004980418|101|2018|15938.24819
00086004980418|102|2018|11017.787266
00086004980418|103|2018|23415.466774
00086004980418|104|2018|21588.928747
00086005756618|101|2018|11703.830136
00086005756618|102|2018|7123.4348037
00086005763218|101|2018|7882.8158357
00086005779718|101|2018|6687.0357275
00086005789818|101|2018|12852.044651
00086005789818|102|2018|11225.797626
00086009227618|101|2018|14092.755183
00086011463818|101|2018|7556.7110196
00086011463818|102|2018|7835.7978651
